Rank	Value
0	1
10	4.418918918918919
100	5.016129032258065
1000	5.318681318681318
10000	4.177570093457944
20000	4.481927710843373
30000	5.226190476190476
40000	3.8191489361702127
50000	3.725
60000	4.549019607843137
70000	3.738095238095238
80000	4.589743589743589
90000	2.89247311827957
100000	3.8947368421052633
200000	3.566265060240964
300000	3.2135102533172497
400000	3.005037783375315
500000	2.8310214375788147
600000	2.452471482889734
700000	2.478787878787879
800000	2.1885913853317813
900000	2.2245398773006135
1000000	0
