Dataset	Domains	Dom w/ int	Int non-D	Some int D	Dom w/ ext	Ext non-D	Some ext D	All non-D	Some D
alexa.2014-09-01.random.10000-http	8216	7829	0.9938689487801763	0.006131051219823713	7591	0.051113160321433274	0.9488868396785667	0.1127939908878217	0.8872060091121783
alexa.2014-09-01.random.10000-http-www	8493	8009	0.9937570233487327	0.0062429766512672735	7825	0.05329073482428115	0.9467092651757189	0.117752113346827	0.882247886653173
alexa.2014-09-01.random.10000-https	1135	1084	0.9944649446494465	0.005535055350553542	1072	0.025186567164179104	0.9748134328358209	0.06529516994633273	0.9347048300536672
alexa.2014-09-01.random.10000-https-www	1224	1182	0.9974619289340102	0.0025380710659898	1139	0.03687445127304653	0.9631255487269534	0.09563066776586975	0.9043693322341303
alexa.2014-09-01.top.10000-http	8545	8156	0.961378126532614	0.03862187346738599	8176	0.046966731898238745	0.9530332681017613	0.0783132530120482	0.9216867469879518
alexa.2014-09-01.top.10000-http-www	8682	8190	0.9617826617826618	0.03821733821733819	8289	0.04898057666787309	0.951019423332127	0.0822968731837731	0.9177031268162269
alexa.2014-09-01.top.10000-https	2507	2398	0.9170141784820683	0.08298582151793166	2369	0.024905023216547067	0.9750949767834529	0.06421647819063005	0.93578352180937
alexa.2014-09-01.top.10000-https-www	2957	2849	0.9203229203229203	0.07967707967707971	2801	0.029989289539450195	0.9700107104605498	0.07215793056501021	0.9278420694349898
alexa.2014-09-01.top.dk.10000-http	2263	2182	0.9995417048579285	0.00045829514207151867	2136	0.024344569288389514	0.9756554307116105	0.07336594041796354	0.9266340595820365
alexa.2014-09-01.top.dk.10000-http-www	2310	2212	0.9995479204339964	0.00045207956600357146	2182	0.026581118240146653	0.9734188817598534	0.07612005219660722	0.9238799478033928
alexa.2014-09-01.top.dk.10000-https	339	325	0.9969230769230769	0.003076923076923088	316	0.03164556962025317	0.9683544303797469	0.08383233532934131	0.9161676646706587
alexa.2014-09-01.top.dk.10000-https-www	441	424	0.9976415094339622	0.002358490566037763	406	0.03694581280788178	0.9630541871921182	0.10321100917431193	0.8967889908256881
alexa.2014-09-01.top.se.10000-http	2797	2687	0.9996278377372534	0.00037216226274661146	2684	0.03204172876304024	0.9679582712369598	0.06881720430107527	0.9311827956989247
alexa.2014-09-01.top.se.10000-http-www	2895	2756	0.9996371552975326	0.00036284470246739087	2779	0.03166606693055056	0.9683339330694495	0.06789054381711118	0.9321094561828889
alexa.2014-09-01.top.se.10000-https	438	427	0.9976580796252927	0.0023419203747072626	422	0.011848341232227487	0.9881516587677726	0.04576659038901602	0.954233409610984
alexa.2014-09-01.top.se.10000-https-www	650	636	0.9984276729559748	0.0015723270440252124	630	0.015873015873015872	0.9841269841269842	0.043209876543209874	0.9567901234567902
com.2014-08-29.random.10000-http	7775	5575	1	0	6222	0.156702025072324	0.843297974927676	0.28064162325198794	0.7193583767480121
com.2014-08-29.random.10000-http-www	7811	5546	1	0	6241	0.16135234738022752	0.8386476526197725	0.2854607508532423	0.7145392491467577
com.2014-08-29.random.10000-https	50	45	1	0	41	0.0975609756097561	0.9024390243902439	0.2127659574468085	0.7872340425531915
com.2014-08-29.random.10000-https-www	55	54	1	0	43	0.06976744186046512	0.9302325581395349	0.25925925925925924	0.7407407407407407
dk.2014-07-23.random.10000-http	7180	4648	1	0	4626	0.22006052745352356	0.7799394725464764	0.46650894573414164	0.5334910542658584
dk.2014-07-23.random.10000-http-www	7378	4763	1	0	4773	0.22899643829876387	0.7710035617012361	0.46958777745748054	0.5304122225425194
dk.2014-07-23.random.10000-https	23	22	1	0	16	0	1	0.30434782608695654	0.6956521739130435
dk.2014-07-23.random.10000-https-www	32	29	1	0	22	0.045454545454545456	0.9545454545454546	0.3	0.7
net.2014-08-29.random.10000-http	7270	4871	1	0	5757	0.16988014590932776	0.8301198540906722	0.2851159311892296	0.7148840688107704
net.2014-08-29.random.10000-http-www	7378	4867	1	0	5839	0.17091967802705943	0.8290803219729406	0.28493353028064994	0.7150664697193501
net.2014-08-29.random.10000-https	26	26	1	0	16	0.0625	0.9375	0.4230769230769231	0.5769230769230769
net.2014-08-29.random.10000-https-www	28	25	1	0	20	0.1	0.9	0.3076923076923077	0.6923076923076923
reach50.2014w35.se-http	43	41	0.7804878048780488	0.2195121951219512	43	0.046511627906976744	0.9534883720930233	0.023255813953488372	0.9767441860465116
reach50.2014w35.se-http-www	42	39	0.7435897435897436	0.2564102564102564	42	0.047619047619047616	0.9523809523809523	0.023809523809523808	0.9761904761904762
reach50.2014w35.se-https	18	16	0.6875	0.3125	17	0.058823529411764705	0.9411764705882353	0.1111111111111111	0.8888888888888888
reach50.2014w35.se-https-www	26	23	0.6521739130434783	0.34782608695652173	26	0.11538461538461539	0.8846153846153846	0.038461538461538464	0.9615384615384616
se.2014-07-10.random.100000-http	73605	43216	1	0	54882	0.2327721292955796	0.7672278707044204	0.4003133233639536	0.5996866766360465
se.2014-07-10.random.100000-http-www	77261	45312	1	0	57547	0.24119415434340627	0.7588058456565937	0.4072379762987498	0.5927620237012502
se.2014-07-10.random.100000-https	282	263	1	0	226	0.03982300884955752	0.9601769911504425	0.1992619926199262	0.8007380073800738
se.2014-07-10.random.100000-https-www	328	311	1	0	285	0.04912280701754386	0.9508771929824561	0.15838509316770186	0.8416149068322981
se.healthstatus.2013.counties-http	18	18	1	0	18	0.05555555555555555	0.9444444444444444	0.05555555555555555	0.9444444444444444
se.healthstatus.2013.counties-http-www	21	20	1	0	21	0.047619047619047616	0.9523809523809523	0.047619047619047616	0.9523809523809523
se.healthstatus.2013.counties-https	3	3	1	0	3	0	1	0	1
se.healthstatus.2013.counties-https-www	6	6	1	0	5	0	1	0.16666666666666666	0.8333333333333334
se.healthstatus.2013.domain-registrars-http	127	108	1	0	108	0.08333333333333333	0.9166666666666666	0.208	0.792
se.healthstatus.2013.domain-registrars-http-www	134	114	1	0	113	0.07964601769911504	0.9203539823008849	0.22388059701492538	0.7761194029850746
