Dataset	Domains	Same domain	Subdomain	Superdomain	Same primary	Internal	Mixed	External
se.healthstatus.2013.counties-https-www	6	0.16666666666666666	0	0	0.16666666666666666	0.16666666666666666	0.8333333333333334	0
se.healthstatus.2013.domain-registrars-https-www	42	0.11904761904761904	0	0	0.14285714285714285	0.14285714285714285	0.8095238095238095	0.047619047619047616
se.healthstatus.2013.financial-services-https-www	31	0	0	0	0	0	0.967741935483871	0.03225806451612903
se.healthstatus.2013.gocs-https-www	9	0	0	0	0	0	1	0
se.healthstatus.2013.higher-education-https-www	24	0	0	0	0	0	1	0
se.healthstatus.2013.isps-https-www	10	0	0	0	0	0	1	0
se.healthstatus.2013.media-https-www	5	0	0	0	0	0	1	0
se.healthstatus.2013.municipalities-https-www	54	0.07407407407407407	0	0	0.07407407407407407	0.07407407407407407	0.9259259259259259	0
se.healthstatus.2013.public-authorities-https-www	37	0.02702702702702703	0	0	0.02702702702702703	0.02702702702702703	0.972972972972973	0
reach50.2014w35.se-https-www	26	0	0	0	0	0	0.8846153846153846	0.11538461538461539
alexa.2014-09-01.top.se.10000-https-www	650	0.023148148148148147	0	0.0015432098765432098	0.027777777777777776	0.027777777777777776	0.9537037037037037	0.018518518518518517
se.2014-07-10.random.100000-https-www	328	0.10869565217391304	0	0.006211180124223602	0.11490683229813664	0.11490683229813664	0.8509316770186336	0.034161490683229816
