Dataset	Domains	Same domain	Subdomain	Superdomain	Same primary	Internal	Mixed	External
se.healthstatus.2013.counties-http-www	21	0	0	0	0	0	0.9523809523809523	0.047619047619047616
se.healthstatus.2013.domain-registrars-http-www	134	0.1044776119402985	0	0.014925373134328358	0.15671641791044777	0.15671641791044777	0.6940298507462687	0.14925373134328357
se.healthstatus.2013.financial-services-http-www	72	0.013888888888888888	0	0	0.013888888888888888	0.013888888888888888	0.875	0.1111111111111111
se.healthstatus.2013.gocs-http-www	57	0.03508771929824561	0	0	0.03508771929824561	0.03508771929824561	0.8421052631578947	0.12280701754385964
se.healthstatus.2013.higher-education-http-www	47	0.06382978723404255	0	0	0.06382978723404255	0.06382978723404255	0.9148936170212766	0.02127659574468085
se.healthstatus.2013.isps-http-www	19	0	0	0	0	0	1	0
se.healthstatus.2013.media-http-www	28	0	0	0.03571428571428571	0.03571428571428571	0.03571428571428571	0.8571428571428572	0.10714285714285714
se.healthstatus.2013.municipalities-http-www	271	0.04797047970479705	0	0	0.04797047970479705	0.04797047970479705	0.948339483394834	0.0036900369003690036
se.healthstatus.2013.public-authorities-http-www	203	0.07389162561576355	0	0	0.07389162561576355	0.07389162561576355	0.8226600985221675	0.10344827586206896
reach50.2014w35.se-http-www	42	0	0	0	0	0	0.9285714285714286	0.07142857142857142
alexa.2014-09-01.top.se.10000-http-www	2895	0.030481468652580532	0	0.0038101835815725666	0.03740907516453065	0.03740907516453065	0.917215102182196	0.04537582265327329
se.2014-07-10.random.100000-http-www	77261	0.18655571694245726	0	0.027312093610436152	0.21882253926452822	0.21882253926452822	0.39626970013710344	0.38490776059836834
