Dataset	Domains	Same domain	Subdomain	Superdomain	Same primary	Internal	Mixed	External
alexa.2014-09-01.random.10000-http	8216	0.04432951606944958	0.01625415589213151	0	0.06526289865780076	0.06526289865780076	0.8987809383080901	0.0359561630341091
alexa.2014-09-01.random.10000-http-www	8493	0.05714966067388975	0	0.0066674604119538045	0.06834146922252649	0.06834146922252649	0.8852244314799381	0.04643409929753542
alexa.2014-09-01.random.10000-https	1135	0.027728085867620753	0.009838998211091235	0	0.04114490161001789	0.04114490161001789	0.9284436493738819	0.03041144901610018
alexa.2014-09-01.random.10000-https-www	1224	0.051112943116240726	0	0.0016488046166529267	0.06100577081615829	0.06100577081615829	0.9134377576257213	0.025556471558120363
alexa.2014-09-01.top.10000-http	8545	0.015001181195369714	0.014410583510512638	0	0.03413654618473896	0.03425466572171037	0.929128277817151	0.03661705646113867
alexa.2014-09-01.top.10000-http-www	8682	0.021969080553295363	0	0.0030222015575961875	0.036498895734046265	0.036498895734046265	0.9154945949087527	0.04800650935720097
alexa.2014-09-01.top.10000-https	2507	0.025040387722132473	0.012520193861066236	0	0.04321486268174475	0.04321486268174475	0.9252827140549272	0.03150242326332795
alexa.2014-09-01.top.10000-https-www	2957	0.02722940776038121	0	0.0034036759700476512	0.046630360789652825	0.046630360789652825	0.9230769230769231	0.0302927161334241
alexa.2014-09-01.top.dk.10000-http	2263	0.02712316585148955	0.018674966651845263	0	0.05024455313472655	0.05024455313472655	0.9199644286349489	0.029791018230324588
alexa.2014-09-01.top.dk.10000-http-www	2310	0.04219225750326229	0	0.004349717268377556	0.0508916920400174	0.0508916920400174	0.9112657677250978	0.03784254023488473
alexa.2014-09-01.top.dk.10000-https	339	0.03293413173652695	0.011976047904191617	0	0.05389221556886228	0.05389221556886228	0.9191616766467066	0.02694610778443114
alexa.2014-09-01.top.dk.10000-https-www	441	0.05504587155963303	0	0.0022935779816513763	0.06880733944954129	0.06880733944954129	0.9036697247706422	0.027522935779816515
alexa.2014-09-01.top.se.10000-http	2797	0.024014336917562724	0.011469534050179211	0	0.03799283154121864	0.03799283154121864	0.925089605734767	0.036917562724014336
alexa.2014-09-01.top.se.10000-http-www	2895	0.030481468652580532	0	0.0038101835815725666	0.03740907516453065	0.03740907516453065	0.917215102182196	0.04537582265327329
alexa.2014-09-01.top.se.10000-https	438	0.02288329519450801	0.006864988558352402	0	0.034324942791762014	0.034324942791762014	0.9427917620137299	0.02288329519450801
alexa.2014-09-01.top.se.10000-https-www	650	0.023148148148148147	0	0.0015432098765432098	0.027777777777777776	0.027777777777777776	0.9537037037037037	0.018518518518518517
com.2014-08-29.random.10000-http	7775	0.12215519605154922	0.02111324376199616	0	0.1469701124211681	0.1469701124211681	0.6173567315601864	0.23567315601864547
