Dataset	Domains	D Requests	D Domains	D Orgs	D Cats	DR/d	(DR/d)/DO	DD/T	DO/T
alexa.2014-09-01.random.10000-http	7591	166702	704	481	5	21.960479515215386	0.04565588256801536	0.32759422987436015	0.49081632653061225
alexa.2014-09-01.random.10000-http-www	7825	169685	704	476	5	21.684984025559107	0.04555668912932585	0.32759422987436015	0.4857142857142857
alexa.2014-09-01.random.10000-https	1072	23599	370	272	5	22.01399253731343	0.08093379609306409	0.17217310376919498	0.27755102040816326
alexa.2014-09-01.random.10000-https-www	1139	16764	368	276	5	14.718173836698858	0.05332671679963354	0.17108321710832172	0.2816326530612245
alexa.2014-09-01.top.10000-http	8176	274782	755	505	5	33.608365949119374	0.06655121970122649	0.35132619823173566	0.5153061224489796
alexa.2014-09-01.top.10000-http-www	8289	276636	760	515	5	33.37386898298951	0.0648036290931835	0.35365286179618427	0.5255102040816326
alexa.2014-09-01.top.10000-https	2369	67788	542	388	5	28.614605318699873	0.0737489827801543	0.25221033038622614	0.39591836734693875
alexa.2014-09-01.top.10000-https-www	2801	73239	569	413	5	26.14744734023563	0.06331101050904511	0.26452812645281265	0.42142857142857143
alexa.2014-09-01.top.dk.10000-http	2136	37832	282	205	5	17.711610486891384	0.08639809993605553	0.13122382503489996	0.20918367346938777
alexa.2014-09-01.top.dk.10000-http-www	2182	38373	284	206	5	17.58615948670944	0.08536970624616233	0.1321544904606794	0.21020408163265306
alexa.2014-09-01.top.dk.10000-https	316	5942	151	109	5	18.803797468354432	0.17251190337939845	0.07026523964634714	0.11122448979591837
alexa.2014-09-01.top.dk.10000-https-www	406	6901	176	127	5	16.997536945812808	0.13383887358907723	0.08182240818224082	0.12959183673469388
alexa.2014-09-01.top.se.10000-http	2684	52345	342	245	5	19.502608047690014	0.07960248182730618	0.15914378780828292	0.25
alexa.2014-09-01.top.se.10000-http-www	2779	52398	351	255	5	18.854983807124864	0.07394111296911711	0.16333178222429037	0.2602040816326531
alexa.2014-09-01.top.se.10000-https	422	7104	167	114	5	16.834123222748815	0.14766774756797207	0.0777105630525826	0.11632653061224489
alexa.2014-09-01.top.se.10000-https-www	630	9510	199	146	5	15.095238095238095	0.10339204174820613	0.09251510925151092	0.1489795918367347
com.2014-08-29.random.10000-http	6222	55666	404	273	5	8.946640951462552	0.032771578576785906	0.18799441600744532	0.2785714285714286
com.2014-08-29.random.10000-http-www	6241	55955	405	277	5	8.965710623297548	0.03236718636569512	0.18845974872033505	0.2826530612244898
com.2014-08-29.random.10000-https	41	446	47	26	5	10.878048780487806	0.4183864915572233	0.021870637505816658	0.026530612244897958
com.2014-08-29.random.10000-https-www	43	477	49	28	5	11.093023255813954	0.3961794019933555	0.02278010227801023	0.02857142857142857
dk.2014-07-23.random.10000-http	4626	36822	278	187	5	7.959792477302205	0.042565735172739066	0.1293624941833411	0.19081632653061226
dk.2014-07-23.random.10000-http-www	4773	35960	275	187	5	7.534045673580557	0.04028901429722223	0.12796649604467195	0.19081632653061226
dk.2014-07-23.random.10000-https	16	150	26	15	5	9.375	0.625	0.01209865053513262	0.015306122448979591
dk.2014-07-23.random.10000-https-www	22	257	32	23	5	11.681818181818182	0.5079051383399209	0.014876801487680148	0.02346938775510204
net.2014-08-29.random.10000-http	5757	48379	412	291	5	8.403508771929825	0.028878037016940982	0.19171707771056307	0.2969387755102041
net.2014-08-29.random.10000-http-www	5839	49471	411	293	5	8.472512416509677	0.028916424629725858	0.19125174499767333	0.29897959183673467
net.2014-08-29.random.10000-https	16	203	21	8	4	12.6875	1.5859375	0.009771986970684038	0.00816326530612245
net.2014-08-29.random.10000-https-www	20	291	27	12	5	14.55	1.2125000000000001	0.012552301255230125	0.012244897959183673
reach50.2014w35.se-http	43	843	92	66	5	19.6046511627907	0.2970401691331924	0.042810609585853886	0.0673469387755102
reach50.2014w35.se-http-www	42	801	92	61	5	19.071428571428573	0.3126463700234192	0.042810609585853886	0.06224489795918367
reach50.2014w35.se-https	17	265	41	24	5	15.588235294117647	0.6495098039215687	0.01907864122847836	0.024489795918367346
reach50.2014w35.se-https-www	26	303	40	25	5	11.653846153846153	0.46615384615384614	0.018596001859600187	0.025510204081632654
se.2014-07-10.random.100000-http	54882	395347	496	336	5	7.20358223096826	0.021439232830262677	0.2308050255932992	0.34285714285714286
se.2014-07-10.random.100000-http-www	57547	406990	502	335	5	7.072306115001651	0.021111361537318362	0.2335970218706375	0.34183673469387754
se.2014-07-10.random.100000-https	226	1962	94	66	5	8.68141592920354	0.13153660498793243	0.04370060437006044	0.0673469387755102
se.2014-07-10.random.100000-https-www	285	2451	124	94	5	8.6	0.09148936170212765	0.05764760576476058	0.09591836734693877
se.healthstatus.2013.counties-http	18	105	10	6	4	5.833333333333333	0.9722222222222222	0.004653327128897162	0.006122448979591836
se.healthstatus.2013.counties-http-www	21	133	11	6	4	6.333333333333333	1.0555555555555556	0.005118659841786877	0.006122448979591836
se.healthstatus.2013.counties-https	3	7	2	1	2	2.3333333333333335	2.3333333333333335	0.0009298000929800093	0.0010204081632653062
se.healthstatus.2013.counties-https-www	5	20	4	1	2	4	4	0.0018596001859600185	0.0010204081632653062
se.healthstatus.2013.domain-registrars-http	108	886	66	49	5	8.203703703703704	0.16742252456538173	0.030711959050721264	0.05
se.healthstatus.2013.domain-registrars-http-www	113	872	62	45	5	7.716814159292035	0.17148475909537855	0.0288506281991624	0.04591836734693878
se.healthstatus.2013.domain-registrars-https	34	430	46	32	4	12.647058823529411	0.3952205882352941	0.021385402138540215	0.0326530612244898
se.healthstatus.2013.domain-registrars-https-www	36	327	40	25	4	9.083333333333334	0.36333333333333334	0.018596001859600187	0.025510204081632654
se.healthstatus.2013.financial-services-http	67	378	49	36	5	5.641791044776119	0.15671641791044777	0.02280130293159609	0.036734693877551024
se.healthstatus.2013.financial-services-http-www	71	415	50	35	5	5.845070422535211	0.1670020120724346	0.023266635644485806	0.03571428571428571
se.healthstatus.2013.financial-services-https	16	95	24	15	5	5.9375	0.3958333333333333	0.011157601115760111	0.015306122448979591
se.healthstatus.2013.financial-services-https-www	31	228	32	19	5	7.354838709677419	0.3870967741935484	0.014876801487680148	0.019387755102040816
se.healthstatus.2013.gocs-http	48	501	45	28	5	10.4375	0.37276785714285715	0.020939972080037228	0.02857142857142857
se.healthstatus.2013.gocs-http-www	55	577	47	30	5	10.49090909090909	0.3496969696969697	0.021870637505816658	0.030612244897959183
se.healthstatus.2013.gocs-https	4	64	21	11	4	16	1.4545454545454546	0.009762900976290097	0.011224489795918367
se.healthstatus.2013.gocs-https-www	9	91	27	16	5	10.11111111111111	0.6319444444444444	0.012552301255230125	0.0163265306122449
se.healthstatus.2013.higher-education-http	38	270	24	12	4	7.105263157894737	0.5921052631578948	0.011167985109353188	0.012244897959183673
se.healthstatus.2013.higher-education-http-www	44	308	26	12	4	7	0.5833333333333334	0.01209865053513262	0.012244897959183673
se.healthstatus.2013.higher-education-https	9	104	16	7	4	11.555555555555555	1.6507936507936507	0.007438400743840074	0.007142857142857143
se.healthstatus.2013.higher-education-https-www	24	182	22	11	4	7.583333333333333	0.6893939393939393	0.010227801022780102	0.011224489795918367
se.healthstatus.2013.isps-http	18	271	47	37	5	15.055555555555555	0.4069069069069069	0.021870637505816658	0.03775510204081633
se.healthstatus.2013.isps-http-www	19	317	55	45	5	16.68421052631579	0.3707602339181287	0.025593299208934387	0.04591836734693878
se.healthstatus.2013.isps-https	6	152	41	35	5	25.333333333333332	0.7238095238095238	0.01906090190609019	0.03571428571428571
se.healthstatus.2013.isps-https-www	10	163	43	34	5	16.3	0.47941176470588237	0.0199907019990702	0.03469387755102041
se.healthstatus.2013.media-http	25	1101	81	57	5	44.04	0.7726315789473684	0.037691949744067005	0.058163265306122446
se.healthstatus.2013.media-http-www	27	1234	79	57	5	45.7037037037037	0.801819363222872	0.036761284318287575	0.058163265306122446
se.healthstatus.2013.media-https	4	186	24	15	4	46.5	3.1	0.011157601115760111	0.015306122448979591
se.healthstatus.2013.media-https-www	5	204	28	17	4	40.8	2.4	0.01301720130172013	0.017346938775510204
se.healthstatus.2013.municipalities-http	239	2367	39	19	5	9.903765690376568	0.521250825809293	0.01814797580269893	0.019387755102040816
se.healthstatus.2013.municipalities-http-www	258	2447	39	19	5	9.484496124031008	0.49918400652794775	0.01814797580269893	0.019387755102040816
se.healthstatus.2013.municipalities-https	41	305	18	9	4	7.439024390243903	0.8265582655826559	0.008368200836820083	0.009183673469387756
se.healthstatus.2013.municipalities-https-www	50	394	18	9	4	7.88	0.8755555555555555	0.008368200836820083	0.009183673469387756
se.healthstatus.2013.public-authorities-http	162	935	48	31	5	5.771604938271605	0.18618080446037436	0.022335970218706376	0.03163265306122449
se.healthstatus.2013.public-authorities-http-www	188	945	48	31	5	5.026595744680851	0.16214824982841453	0.022335970218706376	0.03163265306122449
se.healthstatus.2013.public-authorities-https	15	64	9	6	5	4.266666666666667	0.7111111111111111	0.0041841004184100415	0.006122448979591836
se.healthstatus.2013.public-authorities-https-www	36	200	23	14	5	5.555555555555555	0.3968253968253968	0.010692701069270108	0.014285714285714285
