Dataset	Domains w/ ext	Google	Facebook	Twitter	Microsoft	Amazon	Adobe	Yahoo!	AddThis	AppNexus	comScore	Quantcast
se.healthstatus.2013.counties-https-www	5	1	0	0	0	0	0	0	0	0	0	0
se.healthstatus.2013.domain-registrars-https-www	36	0.8888888888888888	0.2777777777777778	0.1111111111111111	0	0.08333333333333333	0.08333333333333333	0	0	0.1111111111111111	0	0
se.healthstatus.2013.financial-services-https-www	31	0.8709677419354839	0.0967741935483871	0.03225806451612903	0	0.0967741935483871	0.1935483870967742	0	0.06451612903225806	0.06451612903225806	0.0967741935483871	0
se.healthstatus.2013.gocs-https-www	9	1	0.2222222222222222	0.2222222222222222	0	0.2222222222222222	0	0	0.1111111111111111	0.1111111111111111	0.1111111111111111	0
se.healthstatus.2013.higher-education-https-www	24	1	0.25	0.125	0	0.041666666666666664	0	0.041666666666666664	0.16666666666666666	0	0.25	0
se.healthstatus.2013.isps-https-www	10	0.8	0.1	0	0	0.1	0.2	0	0.1	0.3	0.1	0
se.healthstatus.2013.media-https-www	5	1	0.6	0.2	0	0.4	0	0	0	0.2	0.2	0
se.healthstatus.2013.municipalities-https-www	50	0.94	0.16	0.02	0	0.1	0	0	0.12	0	0.14	0
se.healthstatus.2013.public-authorities-https-www	36	0.9166666666666666	0.05555555555555555	0.05555555555555555	0	0.08333333333333333	0.05555555555555555	0	0.1111111111111111	0	0.16666666666666666	0
reach50.2014w35.se-https-www	26	0.7692307692307693	0.038461538461538464	0.07692307692307693	0	0.07692307692307693	0.038461538461538464	0.038461538461538464	0	0.038461538461538464	0.19230769230769232	0.038461538461538464
alexa.2014-09-01.top.se.10000-https-www	630	0.9476190476190476	0.353968253968254	0.09682539682539683	0.0380952380952381	0.1761904761904762	0.05714285714285714	0.012698412698412698	0.06349206349206349	0.12063492063492064	0.09365079365079365	0.004761904761904762
se.2014-07-10.random.100000-https-www	285	0.9087719298245615	0.23508771929824562	0.031578947368421054	0.010526315789473684	0.14385964912280702	0.03859649122807018	0.0035087719298245615	0.03859649122807018	0.042105263157894736	0.04912280701754386	0
