Dataset	Domains w/ ext	Google	Facebook	Twitter	Microsoft	Amazon	Adobe	Yahoo!	AddThis	AppNexus	comScore	Quantcast
alexa.2014-09-01.random.10000-http	7591	0.8786721117112369	0.28059544197075487	0.17362666315373468	0.005137663021999737	0.09656171782373864	0.03161638782769069	0.02911342379133184	0.07627453563430378	0.07008299301804768	0.12198656303517323	0.04070609932815176
alexa.2014-09-01.random.10000-http-www	7825	0.8756549520766773	0.2792332268370607	0.17456869009584663	0.00536741214057508	0.0934185303514377	0.03194888178913738	0.030031948881789138	0.07501597444089457	0.0660702875399361	0.1220447284345048	0.0405111821086262
alexa.2014-09-01.random.10000-https	1072	0.9319029850746269	0.35074626865671643	0.21921641791044777	0.005597014925373134	0.14832089552238806	0.03264925373134328	0.022388059701492536	0.07649253731343283	0.06996268656716417	0.11567164179104478	0.033582089552238806
alexa.2014-09-01.random.10000-https-www	1139	0.9236172080772608	0.30465320456540823	0.17295873573309922	0.006145741878841089	0.14398595258999122	0.04214223002633889	0.021949078138718173	0.0684811237928007	0.07901668129938542	0.09482001755926252	0.029850746268656716
alexa.2014-09-01.top.10000-http	8176	0.8878424657534246	0.38392857142857145	0.23434442270058709	0.015410958904109588	0.20266634050880628	0.10371819960861056	0.04390900195694716	0.08109099804305284	0.17685909980430528	0.2312866927592955	0.10555283757338552
alexa.2014-09-01.top.10000-http-www	8289	0.8826155145373387	0.38315840270237667	0.23452768729641693	0.015924719507781397	0.20460851731210036	0.10580287127518398	0.043069127759681504	0.08336349378694656	0.17191458559536735	0.2290988056460369	0.10640608034744843
alexa.2014-09-01.top.10000-https	2369	0.9206416209371042	0.41241029970451665	0.22836639932460953	0.014352047277332207	0.25158294639088224	0.08780075981426762	0.039257070493879276	0.056986070071760236	0.16715913887716335	0.17517940059096665	0.10848459265512875
alexa.2014-09-01.top.10000-https-www	2801	0.902891824348447	0.3770082113530882	0.20242770439128882	0.014994644769725098	0.24455551588718316	0.10924669760799714	0.04391288825419493	0.057836486968939664	0.16422706176365584	0.17065333809353803	0.09246697607997144
alexa.2014-09-01.top.dk.10000-http	2136	0.9438202247191011	0.3155430711610487	0.08801498127340825	0.009831460674157303	0.11376404494382023	0.03698501872659176	0.012172284644194757	0.06741573033707865	0.09878277153558053	0.08941947565543071	0.003745318352059925
alexa.2014-09-01.top.dk.10000-http-www	2182	0.9408799266727773	0.31072410632447295	0.0843263061411549	0.0036663611365719525	0.11090742438130156	0.035747021081576534	0.011915673693858845	0.06782768102658111	0.09120073327222732	0.09074243813015583	0.0036663611365719525
alexa.2014-09-01.top.dk.10000-https	316	0.9018987341772152	0.34810126582278483	0.08227848101265822	0.02531645569620253	0.17721518987341772	0.06329113924050633	0.006329113924050633	0.06645569620253164	0.14873417721518986	0.08860759493670886	0.0031645569620253164
alexa.2014-09-01.top.dk.10000-https-www	406	0.9014778325123153	0.3275862068965517	0.06896551724137931	0.014778325123152709	0.16502463054187191	0.08620689655172414	0.009852216748768473	0.06403940886699508	0.14039408866995073	0.08866995073891626	0.0049261083743842365
