Dataset	Domains	w/ R	DWR/D	R/DWR	I	Mix I+E	E	Insec	Mix sec	Sec	Final sec	Mism
se.healthstatus.2013.counties-http-www	21	3	0.14285714285714285	1	1	0	0	1	0	0	0	0
se.healthstatus.2013.domain-registrars-http-www	134	55	0.41044776119402987	1.6181818181818182	0.6545454545454545	0	0.32727272727272727	0.6545454545454545	0.07272727272727272	0.2545454545454545	0.32727272727272727	0.01818181818181818
se.healthstatus.2013.financial-services-http-www	72	36	0.5	1.1944444444444444	0.75	0.027777777777777776	0.2222222222222222	0.75	0.05555555555555555	0.19444444444444445	0.25	0
se.healthstatus.2013.gocs-http-www	57	14	0.24561403508771928	1.5714285714285714	0.5	0	0.42857142857142855	0.8571428571428571	0	0.07142857142857142	0.07142857142857142	0.07142857142857142
se.healthstatus.2013.higher-education-http-www	47	10	0.2127659574468085	1.2	0.9	0	0.1	1	0	0	0	0
se.healthstatus.2013.isps-http-www	19	7	0.3684210526315789	1.1428571428571428	1	0	0	0.7142857142857143	0	0.2857142857142857	0.2857142857142857	0
se.healthstatus.2013.media-http-www	28	10	0.35714285714285715	1.1	0.7	0	0.3	1	0	0	0	0
se.healthstatus.2013.municipalities-http-www	271	26	0.0959409594095941	1.0769230769230769	0.9230769230769231	0	0.038461538461538464	0.8461538461538461	0	0.11538461538461539	0.11538461538461539	0.038461538461538464
se.healthstatus.2013.public-authorities-http-www	203	54	0.2660098522167488	1.2222222222222223	0.6296296296296297	0	0.37037037037037035	0.8888888888888888	0.018518518518518517	0.09259259259259259	0.1111111111111111	0
reach50.2014w35.se-http-www	42	12	0.2857142857142857	1.25	0.8333333333333334	0	0.08333333333333333	0.5833333333333334	0	0.3333333333333333	0.3333333333333333	0.08333333333333333
alexa.2014-09-01.top.se.10000-http-www	2895	863	0.2981001727115717	1.146002317497103	0.8980301274623407	0.002317497103128621	0.07879490150637311	0.8192352259559675	0.010428736964078795	0.14947856315179606	0.15990730011587487	0.02085747392815759
se.2014-07-10.random.100000-http-www	77261	18765	0.24287803678440611	1.2626165734079404	0.41007194244604317	0.0035171862509992004	0.5338129496402878	0.9086597388755662	0.01630695443645084	0.023394617639221956	0.03852917665867306	0.05259792166266986
