Dataset	Domains	w/ R	DWR/D	R/DWR	I	Mix I+E	E	Insec	Mix sec	Sec	Final sec	Mism
se.healthstatus.2013.counties-https-www	6	3	0.5	1	1	0	0	0.6666666666666666	0	0.3333333333333333	0.3333333333333333	0
se.healthstatus.2013.domain-registrars-https-www	42	14	0.3333333333333333	1.2142857142857142	0.8571428571428571	0	0.14285714285714285	0.5	0.07142857142857142	0.42857142857142855	0.42857142857142855	0
se.healthstatus.2013.financial-services-https-www	31	10	0.3225806451612903	1.3	0.9	0	0.1	0.5	0.1	0.4	0.4	0
se.healthstatus.2013.gocs-https-www	9	2	0.2222222222222222	2	1	0	0	0	0	1	1	0
se.healthstatus.2013.higher-education-https-www	24	8	0.3333333333333333	1.25	1	0	0	0.875	0	0.125	0.125	0
se.healthstatus.2013.isps-https-www	10	2	0.2	1	1	0	0	1	0	0	0	0
se.healthstatus.2013.media-https-www	5	3	0.6	1	1	0	0	0.6666666666666666	0	0.3333333333333333	0.3333333333333333	0
se.healthstatus.2013.municipalities-https-www	54	20	0.37037037037037035	1.05	1	0	0	0.7	0	0.3	0.3	0
se.healthstatus.2013.public-authorities-https-www	37	12	0.32432432432432434	1.0833333333333333	1	0	0	0.6666666666666666	0	0.3333333333333333	0.3333333333333333	0
reach50.2014w35.se-https-www	26	17	0.6538461538461539	1.0588235294117647	0.8823529411764706	0	0.058823529411764705	0.47058823529411764	0	0.47058823529411764	0.47058823529411764	0.058823529411764705
alexa.2014-09-01.top.se.10000-https-www	650	268	0.4123076923076923	1.2164179104477613	0.9365671641791045	0	0.022388059701492536	0.6529850746268657	0.03731343283582089	0.26865671641791045	0.27611940298507465	0.041044776119402986
se.2014-07-10.random.100000-https-www	328	115	0.35060975609756095	1.2695652173913043	0.8782608695652174	0.017391304347826087	0.06956521739130435	0.41739130434782606	0.034782608695652174	0.5130434782608696	0.5217391304347826	0.034782608695652174
