Dataset	Domains	1xx	2xx	3xx	301	302	303	307	4xx	5xx	(null)
se.healthstatus.2013.counties-http-www	21	0	0.8571428571428571	0.14285714285714285	0.09523809523809523	0.047619047619047616	0	0	0	0	0
se.healthstatus.2013.domain-registrars-http-www	146	0	0.541095890410959	0.3767123287671233	0.2534246575342466	0.1232876712328767	0	0	0	0	0.0821917808219178
se.healthstatus.2013.financial-services-http-www	79	0	0.45569620253164556	0.45569620253164556	0.27848101265822783	0.1518987341772152	0.02531645569620253	0	0	0	0.08860759493670886
se.healthstatus.2013.gocs-http-www	60	0	0.7166666666666667	0.23333333333333334	0.13333333333333333	0.1	0	0	0	0	0.05
se.healthstatus.2013.higher-education-http-www	48	0	0.7708333333333334	0.20833333333333334	0.14583333333333334	0.0625	0	0	0	0	0.020833333333333332
se.healthstatus.2013.isps-http-www	20	0	0.6	0.35	0.15	0.2	0	0	0	0	0.05
se.healthstatus.2013.media-http-www	32	0	0.5625	0.3125	0.125	0.15625	0	0.03125	0	0	0.125
se.healthstatus.2013.municipalities-http-www	288	0	0.8506944444444444	0.09027777777777778	0.034722222222222224	0.05555555555555555	0	0	0	0	0.059027777777777776
se.healthstatus.2013.public-authorities-http-www	214	0	0.6962616822429907	0.2523364485981308	0.1261682242990654	0.12149532710280374	0.004672897196261682	0	0	0	0.0514018691588785
reach50.2014w35.se-http-www	46	0	0.6521739130434783	0.2608695652173913	0.1956521739130435	0.06521739130434782	0	0	0	0	0.08695652173913043
alexa.2014-09-01.top.se.10000-http-www	3281	0	0.6193233770192015	0.26302956415726914	0.18744285278878392	0.07131971959768363	0.0027430661383724473	0.0012191405059433099	0	0	0.11764705882352941
se.2014-07-10.random.100000-http-www	99428	0	0.5883252202598865	0.18872953292835015	0.1295510319024822	0.057790562014724225	0.0011767309007523032	0.00021120811039143902	0	0	0.22294524681176328
