Dataset	Domains	1xx	2xx	3xx	301	302	303	307	4xx	5xx	(null)
se.healthstatus.2013.counties-https-www	21	0	0.14285714285714285	0.14285714285714285	0	0.14285714285714285	0	0	0	0	0.7142857142857143
se.healthstatus.2013.domain-registrars-https-www	146	0	0.1917808219178082	0.0958904109589041	0.0547945205479452	0.0410958904109589	0	0	0	0	0.7123287671232876
se.healthstatus.2013.financial-services-https-www	79	0	0.26582278481012656	0.12658227848101267	0.05063291139240506	0.0759493670886076	0	0	0	0	0.6075949367088608
se.healthstatus.2013.gocs-https-www	60	0	0.11666666666666667	0.03333333333333333	0.016666666666666666	0.016666666666666666	0	0	0	0	0.85
se.healthstatus.2013.higher-education-https-www	49	0	0.32653061224489793	0.16326530612244897	0.04081632653061224	0.12244897959183673	0	0	0	0	0.5102040816326531
se.healthstatus.2013.isps-https-www	20	0	0.4	0.1	0	0.1	0	0	0	0	0.5
se.healthstatus.2013.media-https-www	32	0	0.0625	0.09375	0.03125	0.0625	0	0	0	0	0.84375
se.healthstatus.2013.municipalities-https-www	290	0	0.11724137931034483	0.06896551724137931	0.0034482758620689655	0.06551724137931035	0	0	0	0	0.8137931034482758
se.healthstatus.2013.public-authorities-https-www	214	0	0.11682242990654206	0.056074766355140186	0.009345794392523364	0.04672897196261682	0	0	0	0	0.8271028037383178
reach50.2014w35.se-https-www	49	0	0.1836734693877551	0.3469387755102041	0.14285714285714285	0.20408163265306123	0	0	0	0	0.46938775510204084
alexa.2014-09-01.top.se.10000-https-www	3358	0	0.11375818939845146	0.07980941036331149	0.03692674210839786	0.04258487194758785	0	0.0002977963073257892	0	0	0.806432400238237
se.2014-07-10.random.100000-https-www	99999	0	0.002130021300213002	0.001150011500115001	0.00045000450004500047	0.0006800068000680007	1.000010000100001e-05	1.000010000100001e-05	0	0	0.996719967199672
