Dataset	Domains	1xx	2xx	3xx	301	302	303	307	4xx	5xx	(null)
alexa.2014-09-01.random.10000-http	9777	0	0.4281476935665337	0.4121918788994579	0.3242303365040401	0.08540452081415567	0.002352459854761174	0.00020456172650097168	0	0	0.1596604275340084
alexa.2014-09-01.random.10000-http-www	9779	0	0.6055833929849678	0.2629103180284283	0.19040801717967074	0.06902546272625013	0.0030677983433888946	0.00040903977911851925	0	0	0.13150628898660394
alexa.2014-09-01.random.10000-https	9952	0	0.0420016077170418	0.07204581993569131	0.04391077170418006	0.028135048231511254	0	0	0	0	0.8859525723472669
alexa.2014-09-01.random.10000-https-www	9951	0	0.07577127926841523	0.04723143402673098	0.023716209426188323	0.023314239774896994	0.00020098482564566376	0	0	0	0.8769972867048538
alexa.2014-09-01.top.10000-http	9750	0	0.2531282051282051	0.6232820512820513	0.5111794871794871	0.11087179487179487	0.00020512820512820512	0.0009230769230769231	0	0	0.12358974358974359
alexa.2014-09-01.top.10000-http-www	9759	0	0.6127677016087714	0.27687263039245824	0.18741674351880316	0.0879188441438672	0.0006148170919151552	0.0009222256378727329	0	0	0.11035966799877037
alexa.2014-09-01.top.10000-https	9971	0	0.0651890482398957	0.1862400962792097	0.13880252732925483	0.04673553304583292	0.00020058168689198675	0.0003008725303379801	0	0	0.7485708554808946
alexa.2014-09-01.top.10000-https-www	9921	0	0.14323152907972986	0.15482310250982764	0.08819675435943958	0.06592077411551255	0.0003023888720895071	0.00040318516278600947	0	0	0.7019453684104425
alexa.2014-09-01.top.dk.10000-http	2584	0	0.3123065015479876	0.5634674922600619	0.46091331269349844	0.0998452012383901	0.0015479876160990713	0.0011609907120743034	0	0	0.12422600619195047
alexa.2014-09-01.top.dk.10000-http-www	2577	0	0.5731470702367093	0.323244082266201	0.23903764066744276	0.08149010477299184	0.002328288707799767	0.00038804811796662784	0	0	0.10360884749708964
alexa.2014-09-01.top.dk.10000-https	2637	0	0.04323094425483504	0.08532423208191127	0.06029579067121729	0.02464922260144103	0.0003792188092529389	0	0	0	0.8714448236632537
alexa.2014-09-01.top.dk.10000-https-www	2629	0	0.0794979079497908	0.08824648155192089	0.04260174971472042	0.04488398630658045	0.0003803727653100038	0.0003803727653100038	0	0	0.8322556104982883
alexa.2014-09-01.top.se.10000-http	3269	0	0.3239522789843989	0.5316610584276538	0.4331599877638422	0.09544203120220252	0.0015295197308045274	0.001223615784643622	0	0	0.14438666258794738
alexa.2014-09-01.top.se.10000-http-www	3281	0	0.6193233770192015	0.26302956415726914	0.18744285278878392	0.07131971959768363	0.0027430661383724473	0.0012191405059433099	0	0	0.11764705882352941
alexa.2014-09-01.top.se.10000-https	3362	0	0.04640095181439619	0.08387864366448543	0.05859607376561571	0.024985127900059488	0	0.000297441998810232	0	0	0.8697204045211184
alexa.2014-09-01.top.se.10000-https-www	3358	0	0.11375818939845146	0.07980941036331149	0.03692674210839786	0.04258487194758785	0	0.0002977963073257892	0	0	0.806432400238237
com.2014-08-29.random.10000-http	9969	0	0.5372655231216772	0.24265222188785235	0.14354498946734878	0.09820443374460829	0.0008024877119069114	0.00010031096398836393	0	0	0.22008225499047046
com.2014-08-29.random.10000-http-www	9965	0	0.5863522328148519	0.197491219267436	0.10888108379327646	0.08780732563973909	0.0007024586051179127	0.00010035122930255896	0	0	0.216156547917712
com.2014-08-29.random.10000-https	10000	0	0.0026	0.0024	0.0014	0.001	0	0	0	0	0.995
com.2014-08-29.random.10000-https-www	10000	0	0.0032	0.0023	0.0013	0.001	0	0	0	0	0.9945
dk.2014-07-23.random.10000-http	9973	0	0.4965406597814098	0.22340318860924496	0.1595307329790434	0.062268123934623484	0.001504060964604432	0.0001002707309736288	0	0	0.2800561516093452
dk.2014-07-23.random.10000-http-www	9967	0	0.5370723387177686	0.20317046252633691	0.14076452292565467	0.06090097321159828	0.0014046352964783787	0.00010033109260559848	0	0	0.2597571987558944
dk.2014-07-23.random.10000-https	10000	0	0.0013	0.001	0.0004	0.0006	0	0	0	0	0.9977
dk.2014-07-23.random.10000-https-www	10000	0	0.0017	0.0015	0.0003	0.0012	0	0	0	0	0.9968
