Dataset	Domains	Ext dom.	Prim.	D dom.	D diff ext.	D diff prim.	D/ext.	Prim. det.	Undet.
alexa.2014-09-01.random.10000-http	8216	14257	7312	704	13553	6608	0.049379252297117204	0.0962800875273523	0.9037199124726477
alexa.2014-09-01.random.10000-http-www	8493	14478	7501	704	13774	6797	0.04862550075977345	0.09385415277962939	0.9061458472203706
alexa.2014-09-01.random.10000-https	1135	3071	1454	370	2701	1084	0.12048192771084337	0.2544704264099037	0.7455295735900963
alexa.2014-09-01.random.10000-https-www	1224	2406	1233	368	2038	865	0.15295095594347466	0.2984590429845904	0.7015409570154096
alexa.2014-09-01.top.10000-http	8545	22212	8335	755	21457	7580	0.03399063569241851	0.09058188362327535	0.9094181163767247
alexa.2014-09-01.top.10000-http-www	8682	22661	8544	760	21901	7784	0.033537796213759324	0.08895131086142322	0.9110486891385767
alexa.2014-09-01.top.10000-https	2507	7217	2909	542	6675	2367	0.07510045725370652	0.18631832244757648	0.8136816775524235
alexa.2014-09-01.top.10000-https-www	2957	8017	3120	569	7448	2551	0.07097417986778097	0.18237179487179486	0.8176282051282051
alexa.2014-09-01.top.dk.10000-http	2263	2768	1407	282	2486	1125	0.101878612716763	0.20042643923240938	0.7995735607675907
alexa.2014-09-01.top.dk.10000-http-www	2310	2850	1483	284	2566	1199	0.09964912280701754	0.19150370869858396	0.808496291301416
alexa.2014-09-01.top.dk.10000-https	339	816	420	151	665	269	0.18504901960784315	0.3595238095238095	0.6404761904761904
alexa.2014-09-01.top.dk.10000-https-www	441	997	516	176	821	340	0.1765295887662989	0.34108527131782945	0.6589147286821706
alexa.2014-09-01.top.se.10000-http	2797	4681	2199	342	4339	1857	0.07306131168553728	0.15552523874488403	0.844474761255116
alexa.2014-09-01.top.se.10000-http-www	2895	4751	2207	351	4400	1856	0.0738791833298253	0.1590394200271862	0.8409605799728138
alexa.2014-09-01.top.se.10000-https	438	990	524	167	823	357	0.1686868686868687	0.3187022900763359	0.6812977099236641
alexa.2014-09-01.top.se.10000-https-www	650	1237	651	199	1038	452	0.1608730800323363	0.30568356374807987	0.6943164362519201
com.2014-08-29.random.10000-http	7775	6329	3713	404	5925	3309	0.06383314899668194	0.10880689469431726	0.8911931053056827
com.2014-08-29.random.10000-http-www	7811	6339	3717	405	5934	3312	0.06389020350212968	0.1089588377723971	0.8910411622276029
com.2014-08-29.random.10000-https	50	127	84	47	80	37	0.3700787401574803	0.5595238095238095	0.44047619047619047
com.2014-08-29.random.10000-https-www	55	163	99	49	114	50	0.3006134969325153	0.494949494949495	0.505050505050505
dk.2014-07-23.random.10000-http	7180	4272	2834	278	3994	2556	0.0650749063670412	0.09809456598447425	0.9019054340155257
dk.2014-07-23.random.10000-http-www	7378	4378	2894	275	4103	2619	0.06281407035175879	0.09502418797512094	0.9049758120248791
dk.2014-07-23.random.10000-https	23	52	33	26	26	7	0.5	0.7878787878787878	0.21212121212121215
dk.2014-07-23.random.10000-https-www	32	81	54	32	49	22	0.3950617283950617	0.5925925925925926	0.40740740740740744
net.2014-08-29.random.10000-http	7270	6206	3806	412	5794	3394	0.06638736706413148	0.10825013137151865	0.8917498686284814
net.2014-08-29.random.10000-http-www	7378	6311	3889	411	5900	3478	0.06512438599271114	0.10568269478014913	0.8943173052198509
net.2014-08-29.random.10000-https	26	49	26	21	28	5	0.42857142857142855	0.8076923076923077	0.1923076923076923
net.2014-08-29.random.10000-https-www	28	62	34	27	35	7	0.43548387096774194	0.7941176470588235	0.20588235294117652
reach50.2014w35.se-http	43	339	195	92	247	103	0.2713864306784661	0.4717948717948718	0.5282051282051282
reach50.2014w35.se-http-www	42	342	194	92	250	102	0.26900584795321636	0.4742268041237113	0.5257731958762887
reach50.2014w35.se-https	18	117	66	41	76	25	0.3504273504273504	0.6212121212121212	0.3787878787878788
reach50.2014w35.se-https-www	26	139	83	40	99	43	0.28776978417266186	0.4819277108433735	0.5180722891566265
se.2014-07-10.random.100000-http	73605	24289	15746	496	23793	15250	0.020420766602165588	0.03150006350819256	0.9684999364918074
se.2014-07-10.random.100000-http-www	77261	25366	16546	502	24864	16044	0.019790270440747458	0.030339659132116524	0.9696603408678834
se.2014-07-10.random.100000-https	282	393	235	94	299	141	0.23918575063613232	0.4	0.6
se.2014-07-10.random.100000-https-www	328	546	340	124	422	216	0.2271062271062271	0.36470588235294116	0.6352941176470588
se.healthstatus.2013.counties-http	18	34	23	10	24	13	0.29411764705882354	0.43478260869565216	0.5652173913043479
se.healthstatus.2013.counties-http-www	21	39	27	11	28	16	0.28205128205128205	0.4074074074074074	0.5925925925925926
se.healthstatus.2013.counties-https	3	6	5	2	4	3	0.3333333333333333	0.4	0.6
se.healthstatus.2013.counties-https-www	6	15	11	4	11	7	0.26666666666666666	0.36363636363636365	0.6363636363636364
se.healthstatus.2013.domain-registrars-http	127	216	148	66	150	82	0.3055555555555556	0.44594594594594594	0.5540540540540541
se.healthstatus.2013.domain-registrars-http-www	134	214	144	62	152	82	0.2897196261682243	0.4305555555555556	0.5694444444444444
se.healthstatus.2013.domain-registrars-https	40	124	86	46	78	40	0.3709677419354839	0.5348837209302325	0.4651162790697675
se.healthstatus.2013.domain-registrars-https-www	42	116	79	40	76	39	0.3448275862068966	0.5063291139240507	0.49367088607594933
se.healthstatus.2013.financial-services-http	67	137	97	49	88	48	0.35766423357664234	0.5051546391752577	0.4948453608247423
se.healthstatus.2013.financial-services-http-www	72	144	97	50	94	47	0.3472222222222222	0.5154639175257731	0.48453608247422686
se.healthstatus.2013.financial-services-https	16	47	37	24	23	13	0.5106382978723404	0.6486486486486487	0.3513513513513513
se.healthstatus.2013.financial-services-https-www	31	71	50	32	39	18	0.4507042253521127	0.64	0.36
se.healthstatus.2013.gocs-http	49	130	83	45	85	38	0.34615384615384615	0.5421686746987951	0.45783132530120485
se.healthstatus.2013.gocs-http-www	57	150	95	47	103	48	0.31333333333333335	0.49473684210526314	0.5052631578947369
se.healthstatus.2013.gocs-https	4	44	28	21	23	7	0.4772727272727273	0.75	0.25
se.healthstatus.2013.gocs-https-www	9	65	44	27	38	17	0.4153846153846154	0.6136363636363636	0.38636363636363635
se.healthstatus.2013.higher-education-http	40	73	53	24	49	29	0.3287671232876712	0.4528301886792453	0.5471698113207547
se.healthstatus.2013.higher-education-http-www	47	74	52	26	48	26	0.35135135135135137	0.5	0.5
