Dataset	Domains w/ ext	html	script	style	image	data	text	font	object	document	(null)
alexa.2014-09-01.random.10000-http	7591	0.6619681201422738	0.9483598998814385	0.591753392174944	0.9272823079963114	0.12541167171650638	0.08325648794625214	0.1071005137663022	0.001976024239230668	0	0.5555262811223818
alexa.2014-09-01.random.10000-http-www	7825	0.6569968051118211	0.9479872204472843	0.5861980830670926	0.9270287539936102	0.11961661341853035	0.08690095846645367	0.1081150159744409	0.0017891373801916933	0	0.5467092651757188
alexa.2014-09-01.random.10000-https	1072	0.664179104477612	0.9673507462686567	0.6277985074626866	0.9347014925373134	0.15205223880597016	0.11473880597014925	0.13619402985074627	0.0018656716417910447	0	0.6110074626865671
alexa.2014-09-01.random.10000-https-www	1139	0.5776997366110623	0.961369622475856	0.5162423178226514	0.9236172080772608	0.1299385425812116	0.09482001755926252	0.06672519754170325	0.001755926251097454	0	0.5715539947322212
alexa.2014-09-01.top.10000-http	8176	0.7611301369863014	0.9761497064579256	0.5776663405088063	0.9651418786692759	0.23214285714285715	0.2139187866927593	0.1190068493150685	0.004403131115459882	0	0.6738013698630136
alexa.2014-09-01.top.10000-http-www	8289	0.7571480275063337	0.973820726263723	0.5732899022801303	0.9639280974785861	0.22849559657377247	0.21655205694293642	0.11822897816383159	0.003981179876945349	0	0.6702859211002533
alexa.2014-09-01.top.10000-https	2369	0.6880540312368087	0.9750949767834529	0.5550865344027016	0.9523005487547488	0.21823554242296328	0.1798227100042212	0.12494723512030392	0.005065428450823132	0	0.6973406500633178
alexa.2014-09-01.top.10000-https-www	2801	0.6772581220992503	0.9675116029989289	0.5273116744019993	0.950017850767583	0.20599785790789005	0.19885755087468762	0.0985362370581935	0.004284184219921457	0	0.6986790431988575
alexa.2014-09-01.top.dk.10000-http	2136	0.6357677902621723	0.9681647940074907	0.5735018726591761	0.9321161048689138	0.12827715355805244	0.10674157303370786	0.07911985018726592	0.0009363295880149813	0	0.523876404494382
alexa.2014-09-01.top.dk.10000-http-www	2182	0.6370302474793768	0.964711274060495	0.576993583868011	0.9349220898258478	0.13153070577451878	0.11274060494958753	0.07745187901008249	0.00045829514207149406	0	0.5284142988084326
