Dataset	Domains	With R	DWR/D	R/DWR	I	E	Mix I+E	Insec	Sec	Mix sec	Final sec	Mism
alexa.2014-09-01.random.10000-http	8216	4030	0.49050632911392406	1.1369727047146403	0.9119106699751861	0.05707196029776675	0.008684863523573201	0.9176178660049628	0.04540942928039702	0.01488833746898263	0.05806451612903226	0.02258064516129032
alexa.2014-09-01.random.10000-http-www	8493	2571	0.3027198869657365	1.1338000777907429	0.8584208479190977	0.09607156748346947	0.010501750291715286	0.8716452742123687	0.08284714119019837	0.010890704006223259	0.09023726176584987	0.035783741734733567
alexa.2014-09-01.random.10000-https	1135	717	0.6317180616740088	1.2622036262203626	0.803347280334728	0.16178521617852162	0.0041841004184100415	0.6317991631799164	0.2649930264993027	0.07531380753138076	0.29428172942817293	0.030683403068340307
alexa.2014-09-01.random.10000-https-www	1224	470	0.3839869281045752	1.2319148936170212	0.9234042553191489	0.036170212765957444	0.00851063829787234	0.6148936170212767	0.30425531914893617	0.04680851063829787	0.32127659574468087	0.03404255319148936
alexa.2014-09-01.top.10000-http	8545	6077	0.7111761263897016	1.2033898305084745	0.9350008227743952	0.03570840875431956	0.010860622017442817	0.9047227250287971	0.05792331742636169	0.01908836597005101	0.0752015797268389	0.018430146453842357
alexa.2014-09-01.top.10000-http-www	8682	2702	0.31121861322275973	1.2427831236121392	0.8645447816432272	0.08697261287934863	0.01147298297557365	0.7890451517394522	0.14951887490747595	0.024056254626202814	0.17061435973353073	0.03774981495188749
alexa.2014-09-01.top.10000-https	2507	1856	0.7403270841643399	1.318426724137931	0.9515086206896551	0.022629310344827586	0.008620689655172414	0.6018318965517241	0.2920258620689655	0.08836206896551724	0.3141163793103448	0.017780172413793104
alexa.2014-09-01.top.10000-https-www	2957	1536	0.5194453838349679	1.2428385416666667	0.9231770833333334	0.03515625	0.011067708333333334	0.6875	0.2265625	0.055989583333333336	0.24479166666666666	0.030598958333333332
alexa.2014-09-01.top.dk.10000-http	2263	1456	0.6433937251436147	1.210164835164835	0.9354395604395604	0.036401098901098904	0.007554945054945055	0.9114010989010989	0.05425824175824176	0.013736263736263736	0.0673076923076923	0.020604395604395604
alexa.2014-09-01.top.dk.10000-http-www	2310	833	0.3606060606060606	1.1944777911164466	0.8715486194477791	0.07322929171668667	0.010804321728691477	0.8331332533013205	0.1056422569027611	0.01680672268907563	0.1212484993997599	0.04441776710684274
