Dataset	Domains	se	dk	com	net	org	nu	uk	de	ru	jp	cn	br	fr
alexa.2014-09-01.random.10000-http	8216	0.08580817916260955	0.0008519961051606621	0.9001947419668939	0.5226387536514119	0.04795520934761441	0.00024342745861733204	0.008276533592989289	0.034688412852969815	0.06755111976630963	0.025194741966893867	0.014727361246348589	0.008398247322297955	0.0062074001947419665
alexa.2014-09-01.random.10000-http-www	8493	0.08783704227010479	0.0007064641469445425	0.8969739785705876	0.5128929706817379	0.04697986577181208	0	0.008830801836806783	0.035676439420699396	0.06464146944542565	0.02472624514305899	0.016484163428705994	0.008242081714352997	0.00647592134699164
alexa.2014-09-01.random.10000-https	1135	0.22202643171806166	0.000881057268722467	0.93215859030837	0.613215859030837	0.03700440528634361	0	0.0052863436123348016	0.04581497797356828	0.028193832599118944	0.02290748898678414	0	0.0052863436123348016	0.004405286343612335
alexa.2014-09-01.random.10000-https-www	1224	0.16993464052287582	0.0008169934640522876	0.9101307189542484	0.5776143790849673	0.029411764705882353	0	0.005718954248366013	0.05392156862745098	0.015522875816993464	0.027777777777777776	0	0.006535947712418301	0.006535947712418301
alexa.2014-09-01.top.10000-http	8545	0.17928613224107665	0.0011702750146284377	0.9354008191925103	0.6957284961966061	0.05406670567583382	0.0005851375073142189	0.007255705090696314	0.06740784084259802	0.06729081334113517	0.04470450555880632	0.038970157987126976	0.009713282621416033	0.014979520187244003
alexa.2014-09-01.top.10000-http-www	8682	0.1883206634416033	0.001151808339092375	0.9314674038240037	0.6945404284727021	0.0571296936189818	0.0005759041695461875	0.008177839207555862	0.0654227136604469	0.06738078783690393	0.04837595024187975	0.0396222068647777	0.008408200875374338	0.013245795899562313
alexa.2014-09-01.top.10000-https	2507	0.21818907060231352	0.001994415636218588	0.9226166733147187	0.7195851615476665	0.04826485839648983	0.0011966493817311527	0.006382130035899481	0.061826884722776226	0.0702034303948943	0.03230953330674113	0.001994415636218588	0.007578779417630634	0.006781013163143199
alexa.2014-09-01.top.10000-https-www	2957	0.22658099425093	0.0023672641190395673	0.9191748393642205	0.7125464998309097	0.043287115319580655	0.00033818058843422386	0.010145417653026716	0.06831247886371322	0.05377071356104159	0.03077443354751437	0.002705444707473791	0.006763611768684477	0.009807237064592493
alexa.2014-09-01.top.dk.10000-http	2263	0.172779496243924	0.26425099425541315	0.9195757843570481	0.5992045956694653	0.023862129916040652	0.0004418912947414936	0.0017675651789659744	0.04330534688466637	0.0017675651789659744	0.0017675651789659744	0.0004418912947414936	0	0.0008837825894829872
alexa.2014-09-01.top.dk.10000-http-www	2310	0.17272727272727273	0.2748917748917749	0.9194805194805195	0.5978354978354978	0.023376623376623377	0.0004329004329004329	0.0012987012987012987	0.04155844155844156	0.0017316017316017316	0.0012987012987012987	0.0004329004329004329	0	0.0012987012987012987
alexa.2014-09-01.top.dk.10000-https	339	0.25073746312684364	0.2448377581120944	0.8997050147492626	0.6342182890855457	0.02359882005899705	0	0.0029498525073746312	0.0943952802359882	0	0	0	0	0.0029498525073746312
alexa.2014-09-01.top.dk.10000-https-www	441	0.26303854875283444	0.2290249433106576	0.8798185941043084	0.6349206349206349	0.022675736961451247	0	0.0022675736961451248	0.07256235827664399	0	0	0	0	0.0022675736961451248
alexa.2014-09-01.top.se.10000-http	2797	0.37397211297819094	0.031462281015373614	0.9399356453342868	0.5870575616732213	0.026814444047193423	0.020378977475867	0.002860207365033965	0.06578476939578119	0.0021451555237754737	0.002860207365033965	0.0003575259206292456	0.0003575259206292456	0.001787629603146228
alexa.2014-09-01.top.se.10000-http-www	2895	0.3727115716753022	0.0307426597582038	0.9398963730569948	0.5854922279792746	0.02521588946459413	0.019689119170984457	0.002763385146804836	0.05319516407599309	0.002763385146804836	0.0017271157167530224	0.0003454231433506045	0.0003454231433506045	0.002072538860103627
alexa.2014-09-01.top.se.10000-https	438	0.3561643835616438	0.03881278538812785	0.9497716894977168	0.684931506849315	0.0228310502283105	0.01598173515981735	0	0.0821917808219178	0.00228310502283105	0	0	0.00228310502283105	0.00228310502283105
alexa.2014-09-01.top.se.10000-https-www	650	0.3769230769230769	0.02923076923076923	0.9523076923076923	0.6661538461538462	0.02923076923076923	0.012307692307692308	0	0.07384615384615385	0.0015384615384615385	0	0	0.0015384615384615385	0.003076923076923077
com.2014-08-29.random.10000-http	7775	0.016720257234726688	0.0002572347266881029	0.7633440514469454	0.45787781350482315	0.015048231511254019	0	0.014790996784565916	0.012990353697749197	0.003215434083601286	0.006945337620578778	0.008617363344051446	0.0021864951768488746	0.003729903536977492
com.2014-08-29.random.10000-http-www	7811	0.017667392139290743	0.0002560491614389963	0.760978107796697	0.4498783766483165	0.014338753040583792	0	0.014850851363461785	0.013570605556266803	0.003584688260145948	0.0067853027781334015	0.009985917296120856	0.0020483932915119703	0.004480860325182435
com.2014-08-29.random.10000-https	50	0.08	0	0.82	0.3	0	0	0	0	0.02	0.02	0	0	0
com.2014-08-29.random.10000-https-www	55	0.05454545454545454	0	0.7636363636363637	0.2909090909090909	0.01818181818181818	0	0	0	0.01818181818181818	0.01818181818181818	0	0	0
dk.2014-07-23.random.10000-http	7180	0.07437325905292479	0.2232590529247911	0.5314763231197771	0.21002785515320335	0.007938718662952647	0.0019498607242339832	0.00584958217270195	0.012116991643454039	0.0001392757660167131	0.0006963788300835655	0	0	0.0006963788300835655
dk.2014-07-23.random.10000-http-www	7378	0.07156410951477366	0.224451070750881	0.5342911358091623	0.20669558145838982	0.007996747085931146	0.0017619951206288968	0.0056925996204933585	0.011249661154784494	0.0001355380862022228	0.0004066142586066685	0	0	0.0005421523448088912
dk.2014-07-23.random.10000-https	23	0	0.08695652173913043	0.6956521739130435	0.34782608695652173	0	0	0	0.08695652173913043	0	0	0	0	0
dk.2014-07-23.random.10000-https-www	32	0.03125	0.125	0.65625	0.34375	0	0	0	0.03125	0	0	0	0	0
net.2014-08-29.random.10000-http	7270	0.01581843191196699	0	0.7396148555708391	0.47757909215955985	0.019944979367262722	0.0001375515818431912	0.013617606602475928	0.02544704264099037	0.004401650618982118	0.01581843191196699	0.007152682255845942	0.0019257221458046766	0.004401650618982118
net.2014-08-29.random.10000-http-www	7378	0.015993494171862292	0.0002710761724044456	0.7382759555435078	0.47140146381133097	0.019924098671726755	0.0001355380862022228	0.013282732447817837	0.02737869341284901	0.003659528327460016	0.016942260775277853	0.007590132827324478	0.0020330712930333424	0.004879371103280022
net.2014-08-29.random.10000-https	26	0	0	0.6153846153846154	0.3076923076923077	0.038461538461538464	0	0	0	0	0	0	0	0
net.2014-08-29.random.10000-https-www	28	0.03571428571428571	0	0.6785714285714286	0.39285714285714285	0.03571428571428571	0	0	0.03571428571428571	0	0	0	0	0
reach50.2014w35.se-http	43	0.5813953488372093	0.023255813953488372	0.9069767441860465	0.7209302325581395	0.046511627906976744	0.06976744186046512	0	0.06976744186046512	0	0	0	0	0
reach50.2014w35.se-http-www	42	0.5476190476190477	0	0.9047619047619048	0.6666666666666666	0.047619047619047616	0.07142857142857142	0	0.023809523809523808	0	0	0	0	0
reach50.2014w35.se-https	18	0.3888888888888889	0.05555555555555555	0.8333333333333334	0.5555555555555556	0.05555555555555555	0	0	0	0	0	0	0	0
reach50.2014w35.se-https-www	26	0.38461538461538464	0.038461538461538464	0.9230769230769231	0.5	0.038461538461538464	0.038461538461538464	0	0	0	0	0	0	0
se.2014-07-10.random.100000-http	73605	0.37153725969703144	0.006643570409618911	0.6042116704028259	0.2033557502887032	0.008192378235174241	0.011412268188302425	0.005828408396168739	0.006752258678078935	0.00047551117451260106	0.000244548604035052	6.793016778751444e-05	6.793016778751444e-05	0.00029889273826506354
se.2014-07-10.random.100000-http-www	77261	0.36849121807897905	0.006368025265010808	0.6060755102833254	0.1996091171483672	0.008348325804739778	0.011221703058464167	0.005500834832580474	0.006963409741007753	0.00044006678660643794	0.0003365216603460996	6.471570391271146e-05	6.471570391271146e-05	0.0003494648011286419
se.2014-07-10.random.100000-https	282	0.17375886524822695	0.0035460992907801418	0.7872340425531915	0.40425531914893614	0.010638297872340425	0.01773049645390071	0.0070921985815602835	0.02127659574468085	0	0	0	0.0035460992907801418	0
