Dataset	Domains	All	Ext	Int	Disco.	A/d	I/d	E/d	D/d	I/A	E/A	D/A	D/E
alexa.2014-09-01.random.10000-http	8216	610150	266936	343214	152562	74.26363193768258	41.773855890944496	32.48977604673807	18.568889970788707	0.5625075801032533	0.4374924198967467	0.2500401540604769	0.5715302544430125
alexa.2014-09-01.random.10000-http-www	8493	627185	271772	355413	155553	73.84728600023548	41.84775697633345	31.99952902390204	18.315436241610737	0.5666796878114113	0.4333203121885887	0.24801773001586452	0.5723658066320297
alexa.2014-09-01.random.10000-https	1135	86124	36308	49816	22252	75.88017621145374	43.89074889867842	31.98942731277533	19.605286343612335	0.5784218104128931	0.42157818958710697	0.2583716501788119	0.6128676875619699
alexa.2014-09-01.random.10000-https-www	1224	87423	26650	60773	15576	71.42401960784314	49.65114379084967	21.772875816993466	12.72549019607843	0.6951603125035746	0.3048396874964254	0.17816821660203835	0.5844652908067542
alexa.2014-09-01.top.10000-http	8545	899404	490851	408553	237420	105.25500292568753	47.81193680514921	57.443066120538326	27.784669397308367	0.4542485912893427	0.5457514087106573	0.2639748099852791	0.48369057005078936
alexa.2014-09-01.top.10000-http-www	8682	912709	496751	415958	238706	105.12658373646626	47.910389311218616	57.216194425247636	27.494356139138446	0.45574000037251744	0.5442599996274826	0.2615357140118044	0.4805345132672103
alexa.2014-09-01.top.10000-https	2507	207090	113104	93986	60036	82.60470682090147	37.489429597128044	45.11527722377343	23.94734742720383	0.4538413250277657	0.5461586749722342	0.28990294075039835	0.5308035082755694
alexa.2014-09-01.top.10000-https-www	2957	243323	125376	117947	64446	82.28711531958065	39.8873858640514	42.399729455529254	21.79438620223199	0.4847342832366854	0.5152657167633146	0.26485782272945835	0.5140218223583461
alexa.2014-09-01.top.dk.10000-http	2263	162059	62825	99234	36715	71.6124613345117	43.85064074237737	27.761820592134335	16.224038886433938	0.6123325455543969	0.38766745444560313	0.2265532923194639	0.5844011142061282
alexa.2014-09-01.top.dk.10000-http-www	2310	165023	64480	100543	37243	71.43852813852814	43.52510822510823	27.913419913419915	16.122510822510822	0.6092665870818007	0.3907334129181993	0.22568369257618634	0.5775899503722084
alexa.2014-09-01.top.dk.10000-https	339	25034	9459	15575	5855	73.84660766961652	45.94395280235988	27.902654867256636	17.271386430678465	0.6221538707357993	0.3778461292642007	0.2338819205880003	0.6189872079501004
alexa.2014-09-01.top.dk.10000-https-www	441	29901	11305	18596	6747	67.80272108843538	42.16780045351474	25.634920634920636	15.299319727891156	0.6219189993645697	0.37808100063543026	0.22564462726999096	0.5968155683325962
alexa.2014-09-01.top.se.10000-http	2797	209012	91098	117914	49941	74.72720772255988	42.15731140507687	32.569896317483014	17.855202002145155	0.5641494268271678	0.43585057317283216	0.2389384341568905	0.5482118158466707
alexa.2014-09-01.top.se.10000-http-www	2895	212700	91221	121479	50058	73.47150259067358	41.961658031088085	31.509844559585492	17.29119170984456	0.5711283497884344	0.4288716502115656	0.23534555712270805	0.5487552208373072
alexa.2014-09-01.top.se.10000-https	438	32271	12372	19899	6968	73.67808219178082	45.43150684931507	28.246575342465754	15.908675799086758	0.6166217346843915	0.3833782653156084	0.21592141551237953	0.5632072421597155
alexa.2014-09-01.top.se.10000-https-www	650	45199	16913	28286	9233	69.53692307692307	43.51692307692308	26.02	14.204615384615385	0.6258103055377331	0.37418969446226685	0.20427443085024005	0.5459114290782239
com.2014-08-29.random.10000-http	7775	226636	150469	76167	53319	29.149324758842443	9.796398713826367	19.352926045016076	6.857749196141479	0.33607635150638027	0.6639236484936197	0.23526271201397836	0.35435205922814667
com.2014-08-29.random.10000-http-www	7811	230039	151953	78086	53633	29.450646524132633	9.996927410062732	19.4537191140699	6.8663423377288435	0.33944678945743983	0.6605532105425602	0.23314742282830303	0.35295782248458407
com.2014-08-29.random.10000-https	50	2251	597	1654	446	45.02	33.08	11.94	8.92	0.7347845402043536	0.26521545979564637	0.19813416259440247	0.7470686767169179
com.2014-08-29.random.10000-https-www	55	2650	720	1930	477	48.18181818181818	35.09090909090909	13.090909090909092	8.672727272727272	0.7283018867924528	0.27169811320754716	0.18	0.6625
dk.2014-07-23.random.10000-http	7180	187706	106919	80787	35812	26.14289693593315	11.2516713091922	14.891225626740948	4.98774373259053	0.43039114359690156	0.5696088564030984	0.19078772122361565	0.33494514539043574
dk.2014-07-23.random.10000-http-www	7378	190186	108134	82052	35045	25.77744646245595	11.121171049064786	14.656275413391162	4.749932230956899	0.4314302840377315	0.5685697159622685	0.18426698074516526	0.3240886307729299
dk.2014-07-23.random.10000-https	23	902	177	725	150	39.21739130434783	31.52173913043478	7.695652173913044	6.521739130434782	0.8037694013303769	0.19623059866962306	0.1662971175166297	0.847457627118644
dk.2014-07-23.random.10000-https-www	32	1337	416	921	257	41.78125	28.78125	13	8.03125	0.6888556469708302	0.31114435302916976	0.19222139117427076	0.6177884615384616
net.2014-08-29.random.10000-http	7270	192646	136282	56364	46294	26.498762035763413	7.752957359009629	18.74580467675378	6.367812929848693	0.2925780966124394	0.7074219033875606	0.24030605359052354	0.339692696027355
net.2014-08-29.random.10000-http-www	7378	196301	138096	58205	47232	26.606261859582542	7.888994307400379	18.717267552182165	6.401734887503388	0.29650893271048034	0.7034910672895197	0.2406100834942257	0.3420229405630866
net.2014-08-29.random.10000-https	26	1299	228	1071	203	49.96153846153846	41.19230769230769	8.76923076923077	7.8076923076923075	0.8244803695150116	0.17551963048498845	0.1562740569668976	0.8903508771929824
net.2014-08-29.random.10000-https-www	28	1568	358	1210	291	56	43.214285714285715	12.785714285714286	10.392857142857142	0.7716836734693877	0.22831632653061223	0.18558673469387754	0.8128491620111732
reach50.2014w35.se-http	43	3898	2585	1313	843	90.65116279069767	30.53488372093023	60.116279069767444	19.6046511627907	0.33683940482298613	0.6631605951770139	0.21626475115443816	0.3261121856866538
reach50.2014w35.se-http-www	42	3645	2510	1135	801	86.78571428571429	27.023809523809526	59.76190476190476	19.071428571428573	0.3113854595336077	0.6886145404663924	0.21975308641975308	0.3191235059760956
reach50.2014w35.se-https	18	1092	828	264	265	60.666666666666664	14.666666666666666	46	14.722222222222221	0.24175824175824176	0.7582417582417582	0.24267399267399267	0.32004830917874394
reach50.2014w35.se-https-www	26	1436	981	455	303	55.23076923076923	17.5	37.73076923076923	11.653846153846153	0.3168523676880223	0.6831476323119777	0.21100278551532034	0.308868501529052
se.2014-07-10.random.100000-http	73605	1931501	1148503	782998	386558	26.241437402350385	10.637837103457645	15.603600298892738	5.251789959921201	0.40538317091215587	0.5946168290878441	0.20013347132618622	0.3365755248353727
se.2014-07-10.random.100000-http-www	77261	2006337	1199177	807160	397572	25.968302248223555	10.447185514036835	15.521116734186718	5.145830367196904	0.4023052956706675	0.5976947043293325	0.19815813594625428	0.3315373793860289
se.2014-07-10.random.100000-https	282	14140	3414	10726	1962	50.141843971631204	38.0354609929078	12.106382978723405	6.957446808510638	0.7585572842998586	0.24144271570014145	0.13875530410183876	0.5746924428822495
se.2014-07-10.random.100000-https-www	328	17686	4629	13057	2427	53.920731707317074	39.80792682926829	14.112804878048781	7.399390243902439	0.738267556259188	0.26173244374081195	0.13722718534434017	0.524303305249514
se.healthstatus.2013.counties-http	18	921	195	726	105	51.166666666666664	40.333333333333336	10.833333333333334	5.833333333333333	0.7882736156351792	0.21172638436482086	0.11400651465798045	0.5384615384615384
se.healthstatus.2013.counties-http-www	21	1066	257	809	133	50.76190476190476	38.523809523809526	12.238095238095237	6.333333333333333	0.7589118198874296	0.24108818011257035	0.124765478424015	0.5175097276264592
se.healthstatus.2013.counties-https	3	156	19	137	7	52	45.666666666666664	6.333333333333333	2.3333333333333335	0.8782051282051282	0.12179487179487179	0.04487179487179487	0.3684210526315789
se.healthstatus.2013.counties-https-www	6	240	49	191	20	40	31.833333333333332	8.166666666666666	3.3333333333333335	0.7958333333333333	0.20416666666666666	0.08333333333333333	0.40816326530612246
se.healthstatus.2013.domain-registrars-http	127	6418	1959	4459	886	50.53543307086614	35.110236220472444	15.4251968503937	6.9763779527559056	0.6947647242131505	0.3052352757868495	0.13804923652228107	0.45227156712608474
se.healthstatus.2013.domain-registrars-http-www	134	6627	2062	4565	872	49.45522388059702	34.06716417910448	15.388059701492537	6.507462686567164	0.6888486494643127	0.3111513505356873	0.1315829183642674	0.42289039767216297
se.healthstatus.2013.domain-registrars-https	40	2342	722	1620	430	58.55	40.5	18.05	10.75	0.6917164816396243	0.30828351836037576	0.18360375747224594	0.5955678670360111
se.healthstatus.2013.domain-registrars-https-www	42	2439	606	1833	327	58.07142857142857	43.642857142857146	14.428571428571429	7.785714285714286	0.7515375153751538	0.24846248462484624	0.13407134071340712	0.5396039603960396
se.healthstatus.2013.financial-services-http	67	3260	941	2319	378	48.656716417910445	34.61194029850746	14.044776119402986	5.641791044776119	0.7113496932515337	0.28865030674846626	0.11595092024539877	0.40170031880977686
se.healthstatus.2013.financial-services-http-www	72	3518	1027	2491	415	48.861111111111114	34.59722222222222	14.26388888888889	5.763888888888889	0.7080727686185333	0.29192723138146676	0.11796475270039795	0.4040895813047712
se.healthstatus.2013.financial-services-https	16	881	185	696	95	55.0625	43.5	11.5625	5.9375	0.7900113507377979	0.20998864926220204	0.10783200908059024	0.5135135135135135
se.healthstatus.2013.financial-services-https-www	31	1504	356	1148	228	48.516129032258064	37.03225806451613	11.483870967741936	7.354838709677419	0.7632978723404256	0.23670212765957446	0.15159574468085107	0.6404494382022472
se.healthstatus.2013.gocs-http	49	2585	839	1746	501	52.755102040816325	35.63265306122449	17.122448979591837	10.224489795918368	0.6754352030947776	0.32456479690522244	0.19381044487427465	0.5971394517282479
se.healthstatus.2013.gocs-http-www	57	2925	1031	1894	577	51.31578947368421	33.228070175438596	18.087719298245613	10.12280701754386	0.6475213675213676	0.3524786324786325	0.19726495726495727	0.5596508244422891
se.healthstatus.2013.gocs-https	4	321	126	195	64	80.25	48.75	31.5	16	0.6074766355140186	0.3925233644859813	0.19937694704049844	0.5079365079365079
se.healthstatus.2013.gocs-https-www	9	567	190	377	91	63	41.888888888888886	21.11111111111111	10.11111111111111	0.6649029982363316	0.3350970017636684	0.16049382716049382	0.4789473684210526
se.healthstatus.2013.higher-education-http	40	2064	379	1685	270	51.6	42.125	9.475	6.75	0.8163759689922481	0.18362403100775193	0.1308139534883721	0.712401055408971
se.healthstatus.2013.higher-education-http-www	47	2305	419	1886	308	49.04255319148936	40.12765957446808	8.914893617021276	6.553191489361702	0.8182212581344902	0.18177874186550977	0.1336225596529284	0.7350835322195705
se.healthstatus.2013.higher-education-https	9	571	129	442	104	63.44444444444444	49.111111111111114	14.333333333333334	11.555555555555555	0.7740805604203153	0.22591943957968477	0.18213660245183888	0.8062015503875969
se.healthstatus.2013.higher-education-https-www	24	1291	253	1038	182	53.791666666666664	43.25	10.541666666666666	7.583333333333333	0.8040278853601859	0.1959721146398141	0.1409759876065066	0.7193675889328063
se.healthstatus.2013.isps-http	18	1150	393	757	271	63.888888888888886	42.05555555555556	21.833333333333332	15.055555555555555	0.6582608695652173	0.3417391304347826	0.23565217391304347	0.6895674300254453
se.healthstatus.2013.isps-http-www	19	1209	474	735	317	63.63157894736842	38.68421052631579	24.94736842105263	16.68421052631579	0.607940446650124	0.3920595533498759	0.26220016542597185	0.6687763713080169
se.healthstatus.2013.isps-https	6	523	200	323	152	87.16666666666667	53.833333333333336	33.333333333333336	25.333333333333332	0.6175908221797323	0.3824091778202677	0.29063097514340347	0.76
se.healthstatus.2013.isps-https-www	10	669	221	448	163	66.9	44.8	22.1	16.3	0.6696562032884903	0.3303437967115097	0.2436472346786248	0.7375565610859729
se.healthstatus.2013.media-http	26	4812	3216	1596	1101	185.07692307692307	61.38461538461539	123.6923076923077	42.34615384615385	0.3316708229426434	0.6683291770573566	0.22880299251870323	0.3423507462686567
se.healthstatus.2013.media-http-www	28	5507	3831	1676	1234	196.67857142857142	59.857142857142854	136.82142857142858	44.07142857142857	0.30433993099691303	0.695660069003087	0.22407844561467224	0.3221091098929783
se.healthstatus.2013.media-https	4	977	775	202	186	244.25	50.5	193.75	46.5	0.2067553735926305	0.7932446264073695	0.19037871033776868	0.24
se.healthstatus.2013.media-https-www	5	868	552	316	204	173.6	63.2	110.4	40.8	0.3640552995391705	0.6359447004608295	0.2350230414746544	0.3695652173913043
se.healthstatus.2013.municipalities-http	249	14028	3866	10162	2367	56.33734939759036	40.81124497991968	15.526104417670682	9.506024096385541	0.7244083262047334	0.2755916737952666	0.16873396065012833	0.6122607346094154
se.healthstatus.2013.municipalities-http-www	271	14749	3922	10827	2447	54.42435424354244	39.952029520295206	14.472324723247233	9.029520295202952	0.7340836666892671	0.26591633331073294	0.16590955319004677	0.6239163691993881
se.healthstatus.2013.municipalities-https	44	2603	556	2047	305	59.15909090909091	46.52272727272727	12.636363636363637	6.931818181818182	0.7864003073376873	0.2135996926623127	0.11717249327698809	0.5485611510791367
se.healthstatus.2013.municipalities-https-www	54	3001	654	2347	394	55.574074074074076	43.46296296296296	12.11111111111111	7.296296296296297	0.7820726424525158	0.21792735754748419	0.13128957014328557	0.6024464831804281
se.healthstatus.2013.public-authorities-http	170	7423	2020	5403	935	43.66470588235294	31.78235294117647	11.882352941176471	5.5	0.7278728276976963	0.27212717230230365	0.12595985450626432	0.4628712871287129
se.healthstatus.2013.public-authorities-http-www	203	8297	2174	6123	945	40.87192118226601	30.16256157635468	10.70935960591133	4.655172413793103	0.7379775822586477	0.2620224177413523	0.1138965891286007	0.4346826126954922
se.healthstatus.2013.public-authorities-https	18	664	89	575	64	36.888888888888886	31.944444444444443	4.944444444444445	3.5555555555555554	0.8659638554216867	0.13403614457831325	0.0963855421686747	0.7191011235955056
se.healthstatus.2013.public-authorities-https-www	37	1596	281	1315	200	43.13513513513514	35.54054054054054	7.594594594594595	5.405405405405405	0.8239348370927319	0.17606516290726817	0.12531328320802004	0.7117437722419929
