Dataset	Domains	Successful	Unsuccessful	Non-failed	Failed	Success rate	Unsuccess rate	Non-failure rate	Failure rate	Rate of change
alexa.2014-09-01.random.10000-http-www	9779	5922	2571	8493	1286	0.6055833929849678	0.2629103180284283	0.868493711013396	0.13150628898660394	-
alexa.2014-09-01.random.10000-https	9952	418	717	1135	8817	0.0420016077170418	0.07204581993569131	0.11404742765273312	0.8859525723472669	5.736959723937732
alexa.2014-09-01.top.10000-http-www	9759	5980	2702	8682	1077	0.6127677016087714	0.27687263039245824	0.8896403320012296	0.11035966799877037	-0.8754338872718881
alexa.2014-09-01.top.10000-https	9971	651	1856	2507	7464	0.0652893390833417	0.18613980543576372	0.2514291445191054	0.7485708554808946	5.783011122226602
alexa.2014-09-01.top.dk.10000-http-www	2577	1477	833	2310	267	0.5731470702367093	0.323244082266201	0.8963911525029103	0.10360884749708964	-0.8615911282966934
alexa.2014-09-01.top.dk.10000-https	2637	114	225	339	2298	0.04323094425483504	0.08532423208191127	0.1285551763367463	0.8714448236632537	7.410911275581292
alexa.2014-09-01.top.se.10000-http-www	3281	2032	863	2895	386	0.6193233770192015	0.26302956415726914	0.8823529411764706	0.11764705882352941	-0.8649976962064199
alexa.2014-09-01.top.se.10000-https	3362	156	282	438	2924	0.04640095181439619	0.08387864366448543	0.13027959547888163	0.8697204045211184	6.392623438429506
com.2014-08-29.random.10000-http-www	9965	5843	1968	7811	2154	0.5863522328148519	0.197491219267436	0.783843452082288	0.216156547917712	-0.7514643248634242
com.2014-08-29.random.10000-https	10000	26	24	50	9950	0.0026	0.0024	0.005	0.995	3.603145311049211
dk.2014-07-23.random.10000-http-www	9967	5353	2025	7378	2589	0.5370723387177686	0.20317046252633691	0.7402428012441056	0.2597571987558944	-0.7389374886875433
dk.2014-07-23.random.10000-https	10000	13	10	23	9977	0.0013	0.001	0.0023	0.9977	2.8408945152568563
net.2014-08-29.random.10000-http-www	9971	5504	1874	7378	2593	0.5520008023267475	0.1879450406177916	0.7399458429445391	0.2600541570554608	-0.7393463395254477
net.2014-08-29.random.10000-https	10000	19	7	26	9974	0.0019	0.0007	0.0026	0.9974	2.835354955649827
reach50.2014w35.se-http-www	46	30	12	42	4	0.6521739130434783	0.2608695652173913	0.9130434782608695	0.08695652173913043	-0.912816801945929
se.2014-07-10.random.100000-http	99497	52424	21181	73605	25892	0.5268902579977286	0.2128807903755892	0.7397710483733178	0.2602289516266822	1.9926329437068453
se.2014-07-10.random.100000-http-www	99428	58496	18765	77261	22167	0.5883252202598865	0.18872953292835015	0.7770547531882367	0.22294524681176328	-0.1432727011420511
se.healthstatus.2013.counties-http-www	21	18	3	21	0	0.8571428571428571	0.14285714285714285	1	0	-1
se.healthstatus.2013.domain-registrars-http-www	146	79	55	134	12	0.541095890410959	0.3767123287671233	0.9178082191780822	0.0821917808219178	-
se.healthstatus.2013.financial-services-http-www	79	36	36	72	7	0.45569620253164556	0.45569620253164556	0.9113924050632911	0.08860759493670886	0.07805907172995787
se.healthstatus.2013.gocs-http-www	60	43	14	57	3	0.7166666666666667	0.23333333333333334	0.95	0.05	-0.43571428571428567
se.healthstatus.2013.higher-education-http-www	48	37	10	47	1	0.7708333333333334	0.20833333333333334	0.9791666666666666	0.020833333333333332	-0.5833333333333334
se.healthstatus.2013.isps-http-www	20	12	7	19	1	0.6	0.35	0.95	0.05	1.4000000000000004
se.healthstatus.2013.media-http-www	32	18	10	28	4	0.5625	0.3125	0.875	0.125	1.4999999999999998
se.healthstatus.2013.municipalities-http-www	288	245	26	271	17	0.8506944444444444	0.09027777777777778	0.9409722222222222	0.059027777777777776	-0.5277777777777778
se.healthstatus.2013.public-authorities-http-www	214	149	54	203	11	0.6962616822429907	0.2523364485981308	0.9485981308411215	0.0514018691588785	-0.12919186366135238
